"time","date","symbol","event","actual","deviation","consensus","previous","day_value","date_time"
"12:30",2022-10-12,"USD","Producer Price Index (MoM)(Sep)",0.004,0.6,0.002,0.002,"12",2022-10-12 23:30:00
"12:30",2022-10-12,"USD","Producer Price Index (YoY)(Sep)",0.085,0.25,0.084,0.087,"12",2022-10-12 23:30:00
"12:30",2022-10-12,"USD","Producer Price Index ex Food & Energy (MoM)(Sep)",0.003,0,0.003,0.003,"12",2022-10-12 23:30:00
"12:30",2022-10-12,"USD","Producer Price Index ex Food & Energy (YoY)(Sep)",0.072,0.58,0.073,0.073,"12",2022-10-12 23:30:00
"17:00",2022-10-13,"USD","10-Year Note Auction",0.0393,NA,NA,0.0333,"12",2022-10-13 04:00:00
"20:00",2022-10-13,"NZD","REINZ House Price Index (MoM)(Sep)",0.007,NA,NA,0.013,"12",2022-10-13 07:00:00
"20:30",2022-10-13,"USD","API Weekly Crude Oil Stock(Oct 7)",705400000,NA,NA,17700000,"12",2022-10-13 07:30:00
"21:45",2022-10-13,"NZD","Food Price Index (MoM)(Sep)",0.004,1.41,0.001,0.011,"12",2022-10-13 08:45:00
"23:01",2022-10-13,"GBP","RICS Housing Price Balance(Sep)",0.32,4.11,0.583,0.53,"12",2022-10-13 10:01:00
"23:50",2022-10-13,"JPY","Bank Lending (YoY)(Sep)",0.023,0.21,0.022,0.019,"12",2022-10-13 10:50:00
"23:50",2022-10-13,"JPY","Producer Price Index (MoM)(Sep)",0.007,1.6,0.002,0.004,"12",2022-10-13 10:50:00
"23:50",2022-10-13,"JPY","Producer Price Index (YoY)(Sep)",0.097,2.02,0.088,0.094,"12",2022-10-13 10:50:00
"00:00",2022-10-13,"AUD","Consumer Inflation Expectations(Oct)",0.054,0.59,0.058,0.054,"13",2022-10-13 11:00:00
"06:00",2022-10-13,"EUR","Consumer Price Index (MoM)(Sep)",0.019,0,0.019,0.019,"13",2022-10-13 17:00:00
